Название,Рейтинг,Направления
Северный союз,4.4,Восточная кухня | Гриль-бар | Винный бар
Суши Даром,4.8,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Нарым,3.7,Винный бар | Банкетный зал | Бар
MushRooms,4.5,Точка по продаже шаурмы | Крафтовый бар | Банкетный зал
Суши Море,4.7,Паназиатская кухня | Суши-бар | Фастфуд
Багет-омлет,3.3,Детский ресторан | Винный бар | Панорамный ресторан
Вечный зов,3.7,Детский ресторан | Пельменная | Гриль-бар
Harat`s pub,4.1,Точка по продаже шаурмы | Восточная кухня | Паб
Ёбидоёби,3.5,Паназиатская кухня | Суши-бар | Фастфуд
Bristot,4.5,Винный бар | Фреш-бар | Кондитерская
