Название,Рейтинг,Направления
Северный союз,4.4,Восточная кухня | Гриль-бар | Винный бар
Суши Даром,4.8,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Нарым,3.7,Винный бар | Банкетный зал | Бар
MushRooms,4.5,Точка по продаже шаурмы | Крафтовый бар | Банкетный зал
Суши Море,4.7,Паназиатская кухня | Суши-бар | Фастфуд
Багет-омлет,3.3,Детский ресторан | Винный бар | Панорамный ресторан
Вечный зов,3.7,Детский ресторан | Пельменная | Гриль-бар
Harat`s pub,4.1,Точка по продаже шаурмы | Восточная кухня | Паб
Ёбидоёби,3.5,Паназиатская кухня | Суши-бар | Фастфуд
Bristot,4.5,Винный бар | Фреш-бар | Кондитерская
Панда,3.3,Бар молочных коктейлей | Детский ресторан | Семейный ресторан
Папа Джонс,5.0,Пиццерия | Фастфуд | Доставка еды
Наше кафе,4.9,Столовая | Банкетный зал | Доставка горячих блюд
Velvet,3.5,Паназиатская кухня | Пельменная | Гриль-бар
Птичка,3.5,Винный бар | Пиццерия | Банкетный зал
Escobar,4.8,Бар
Сладкарница,3.3,Пекарня | Кондитерские изделия | Кофе на вынос
Южани с огоньком,3.8,Кафе | Восточная кухня
Лофт студия вкуса,3.8,Детский ресторан | Пельменная | Гриль-бар
Суши Кит,4.3,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Байкал,4.3,Паназиатская кухня | Вегетарианская кухня | Суши-бар
Буланже,3.2,Кафе | Кафе с бельгийскими вафлями | Бар молочных коктейлей
Сыр-Бор,4.7,Столовая | Кофе на вынос | Wi-Fi
Чайная обитель,5.0,Доставка еды | Доставка кондитерских изделий
Старый чердак,3.5,Банкетный зал | Кондитерская | Кейтеринг
Шашлыкоff,3.5,Кафе | Кафе с бельгийскими вафлями | Банкетный зал для корпоратива
Панорама,3.6,Восточная кухня | Паназиатская кухня | Гриль-бар
Корона,5.0,Детский ресторан | Гриль-бар | Банкетный зал
Суши WOK,4.4,Паназиатская кухня | Фастфуд | Бар
Доберман,4.4,Винный бар | Стейк-хаус | Банкетный зал
Антонов двор,3.7,Кафе | Кафе с бельгийскими вафлями | Кондитерские изделия
Resto-место Ближе,3.5,Чебуречная | Восточная кухня | Детский ресторан
Бульвар,3.3,Банкетный зал на 70 человек | Банкетный зал для корпоратива
Invino,4.3,Винный бар | Банкетный зал | Бар
Сибирское бистро,4.0,Бар молочных коктейлей | Пельменная | Бургерная
Пельмени Project,4.4,
Пабик,3.7,Чебуречная | Гриль-бар | Винный бар
Суши Море,4.7,Паназиатская кухня | Суши-бар | Фастфуд
Сансара,4.3,Кофейня | Дог-френдли | Кофе на вынос
Ме-Га Суши,4.3,Паназиатская кухня | Суши-бар | Японская кухня
Rostic`s,3.8,Бар молочных коктейлей | Бургерная
Пирога,3.1,Пекарня | Кондитерские изделия | Кавказская кухня
Колобок. Ру,4.0,Кулинария | Столовая | Доставка плова
Maya pizza,4.0,Пиццерия | Фастфуд | Мексиканская кухня
Су энд Ши,5.0,Бар молочных коктейлей | Точка по продаже шаурмы | Восточная кухня
Ваниль,3.6,Кафе | Кафе с бельгийскими вафлями | Кафе-мороженое
Графт,3.7,Гриль-бар | Винный бар | Шашлычная
Территория Кофе,4.5,Бар молочных коктейлей | Фреш-бар | Кофе на вынос
Дыхание вока,3.6,Паназиатская кухня | Фастфуд | Бар
Хинкали-тун,3.6,Хинкальная | Шашлычная | Кавказская кухня
Додо Пицца,3.9,Итальянская кухня | Европейская кухня | Доставка еды
El Mucho Bar,4.3,Гриль-бар | Винный бар | Стейк-хаус
Мистер Ролл,5.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Мюнхен,3.7,Гриль-бар | Винный бар | Стейк-хаус
Ораш,4.5,Круглосуточный ресторан | Восточная кухня | Пельменная
Буланжери,4.4,Кондитерские изделия | Кондитерская | Кофе на вынос
Народное собрание,4.0,Банкетный зал | Европейская кухня
Лаванда,3.9,Банкетный зал | Кейтеринг | Шведский стол
Clever,3.8,Паб | Винный бар | Бар
Арбат,3.5,Банкетный зал на 60 человек | Банкетный зал на 50 человек
Безумно. Крутая шаурма,4.9,Фастфуд круглосуточно | Точка по продаже шаурмы | Фастфуд
Сибирские блины,5.0,Блинная | Точка по продаже шаурмы | Фастфуд
Антонов двор,5.0,Кафе | Кафе с бельгийскими вафлями | Восточная кухня
Территория Кофе,4.0,Бар молочных коктейлей | Фреш-бар | Кофейня
Буфет,5.0,Банкетный зал | Европейская кухня | Wi-Fi
Шустофф,3.7,Банкетный зал
Панда,2.8,Детский ресторан | Семейный ресторан | Паназиатская кухня
ProFerma,3.5,Бургерная | Фастфуд | Американская кухня
Славянский базаръ,4.0,Детский ресторан | Винный бар | Банкетный зал
Суши WOK,5.0,Паназиатская кухня | Фастфуд | Бар
Антонов двор,3.2,Кафе | Кафе с бельгийскими вафлями | Восточная кухня
Ассорти,4.5,Блинная | Банкетный зал на 70 человек
Антрекот,4.4,Гриль-бар | Винный бар | Бургерная
Мэйк лав пицца,5.0,Кафе | Кафе с фалафелем | Кафе с бельгийскими вафлями
Meet Up,3.5,Винный бар | Бар | Доставка горячих блюд
#re:bro мясо&бургеры,4.0,Гриль-бар | Винный бар | Бургерная
Ресторан в развлекательном комплексе Paradise,3.9,Кавказская кухня | Банкетный зал | Кондитерская
Baba Roma,4.3,Бар молочных коктейлей | Пекарня | Кулинария
Rocket Coffee,3.7,Бар молочных коктейлей | Кофейня | Кофе на вынос
Саша Варит,3.2,Европейская кухня | Доставка азиатской кухни | Доставка плова
Безумно. Крутая шаурма,4.9,Точка по продаже шаурмы | Фастфуд
Прокрафт,4.0,Бургерная | Фастфуд | Пивной ресторан
Золотая долина,2.6,Точка по продаже шаурмы | Восточная кухня | Детский ресторан
Администрации Томской области,4.0,Столовая | Банкетный зал | Кофе на вынос
Безумно. Крутая шаурма,4.9,Точка по продаже шаурмы | Фастфуд
Безумно. Крутая шаурма,4.9,Точка по продаже шаурмы | Фастфуд
Додо Пицца,4.3,Бар молочных коктейлей | Детский ресторан | Пиццерия
Перчини,3.0,Детский ресторан | Винный бар | Пиццерия
Суши точка,4.7,Паназиатская кухня | Суши-бар | Фастфуд
Медведица,3.2,Банкетный зал для свадьбы | Банкетный зал
"Мама, я дома!",3.0,Детский ресторан | Хинкальная | Гриль-бар
Корона,2.6,Бар молочных коктейлей | Банкетный зал для дня рождения | Банкетный зал для юбилея
Мамина пицца,4.8,Корабль-ресторан | Доставка салатов | Доставка фастфуда
Вокруг света,3.3,Детский ресторан | Семейный ресторан | Паназиатская кухня
Баракат,2.6,Круглосуточный бар | Фастфуд круглосуточно | Точка по продаже шаурмы
Колобок. Ру,4.0,Кулинария | Кондитерские изделия | Столовая
8 небо,3.3,Банкетный зал | Wi-Fi
Public,2.4,Детский ресторан | Паназиатская кухня | Шашлычная
Ферганская кухня,3.3,Точка по продаже шаурмы | Восточная кухня | Шашлычная
Farfor,3.3,Домашняя кухня | Паназиатская кухня | Бургерная
Хлеб соль,2.7,Восточная кухня | Гриль-бар | Винный бар
Custom,5.0,Пивной ресторан | Бар | Дог-френдли
Edatomsk.ru,4.0,Кулинария | Столовая | Фастфуд
Союз,2.8,Восточная кухня | Пельменная | Гриль-бар
Мелодия,3.3,Винный бар | Банкетный зал | Бар
Безумно. Крутая шаурма,4.7,Точка по продаже шаурмы | Фастфуд
Ёлка,4.6,Бар молочных коктейлей | Бабл ти бар | Панорамный ресторан
Pashtet catering,5.0,Кейтеринг на свадьбу | Кейтеринг | Доставка еды
Сибирские блины,5.0,Фастфуд | Бар
Корона,2.8,Бар молочных коктейлей | Банкетный зал для дня рождения | Банкетный зал для юбилея
Rostic`s,3.0,Бар молочных коктейлей | Бургерная
Очаг,3.1,Восточная кухня | Шашлычная | Пекарня
Голоса,3.2,Банкетный зал | Бар | Европейская кухня
Безумно. Крутая шаурма,4.7,Точка по продаже шаурмы | Фастфуд
#re:bro мясо&бургеры,4.8,Гриль-бар | Бургерная | Фастфуд
Безумно. Крутая шаурма,4.7,Точка по продаже шаурмы | Фастфуд | Кофе на вынос
Торта,3.0,Пекарня | Кондитерские изделия | Кондитерская
Пицце-Рио,3.0,Пиццерия | Фастфуд | Мексиканская кухня
Венеция,2.8,Детский ресторан | Паназиатская кухня | Хинкальная
Сибирские блины,5.0,Блинная | Точка по продаже шаурмы | Фастфуд
Stonebridge,3.7,Винный бар | Банкетный зал | Пивной ресторан
Пряничная мастерская,4.7,Кондитерские изделия | Кондитерская
Инторт,5.0,Кафе | Кафе с бельгийскими вафлями | Кондитерские изделия
YourTime Specialty,5.0,Кафе | Кафе с бельгийскими вафлями | Бар молочных коктейлей
Золотой ключик,2.2,Чебуречная | Детский ресторан | Семейный ресторан
Пицца. ру,4.0,Бар молочных коктейлей | Бабл ти бар | Детский ресторан
Кухня,2.8,Восточная кухня | Детский ресторан | Паназиатская кухня
Шанте,3.0,Восточная кухня | Детский ресторан | Пельменная
Кудесы,2.2,Пекарня | Кондитерские изделия | Банкетный зал
Визави,2.9,Кафе | Банкетный зал для корпоратива | Банкетный зал для дня рождения
Дрезден,2.9,Кафе-мороженое | Винный бар | Шашлычная
Max grill,3.0,Точка по продаже шаурмы | Фастфуд | Доставка фастфуда
Катана,5.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Baba roma,4.0,Бар молочных коктейлей | Пекарня | Кулинария
Бууза,4.6,Фастфуд | Доставка еды | Дог-френдли
Paradise,3.8,Банкетный зал | Европейская кухня | Доставка еды
Сэнсэй,4.2,Круглосуточный ресторан | Паназиатская кухня | Японская кухня
Дворец торжеств,3.0,Банкетный зал
Сибирские блины,5.0,Блинная | Точка по продаже шаурмы | Кулинария
Хочу Пури,4.3,Кафе | Восточная кухня
Ёлка,4.6,Бар молочных коктейлей | Бабл ти бар | Кондитерские изделия
Суши Джет,5.0,Паназиатская кухня | Суши-бар | Японская кухня
Гегард,5.0,Шашлычная | Кавказская кухня | Армянская кухня
Шаурма по-братски,5.0,Бар молочных коктейлей | Точка по продаже шаурмы
Гоар,3.5,Точка по продаже шаурмы | Шашлычная | Кавказская кухня
Baba Roma,4.0,Бар молочных коктейлей | Пекарня | Кулинария
Укромное местечко,3.1,Столовая
Бухара,4.8,Восточная кухня | Доставка плова | Доставка восточной еды
Гости,2.0,Детский ресторан | Винный бар | Банкетный зал
Take two кофейня&бабл-ти,4.8,Бабл ти бар | Кофейня | Кофе на вынос
Сибирские блины,5.0,Блинная | Точка по продаже шаурмы | Паназиатская кухня
Втеме,2.4,Винный бар | Пиццерия | Банкетный зал
Суши мания,5.0,Паназиатская кухня | Суши-бар | Японская кухня
Синьор Суши,4.8,Паназиатская кухня | Суши-бар | Стейк-хаус
Coffee like,4.6,Бар молочных коктейлей | Кофейня | Кофе на вынос
Burger Club,3.5,Бар молочных коктейлей | Детский ресторан | Бургерная
Заверните!,4.8,Кондитерские изделия | Кондитерская | Кофе на вынос
Шаурма гриль,4.6,Точка по продаже шаурмы | Фастфуд | Кофе на вынос
Пицца. ру,4.3,Бар молочных коктейлей | Бабл ти бар | Детский ресторан
Сибирские блины,2.5,Блинная | Точка по продаже шаурмы | Фастфуд
Русские блины,5.0,Блинная | Фастфуд
Сибагро Гурмэ,4.5,Пельменная | Гриль-бар | Винный бар
А когда не кофе?,4.8,Кондитерские изделия | Кондитерская | Кофейня
Сибирские блины,5.0,Блинная | Точка по продаже шаурмы | Паназиатская кухня
Light,3.0,Бар | Танцпол | Караоке
Хуторок,3.6,Точка по продаже шаурмы | Восточная кухня | Детский ресторан
Торта,4.4,Кондитерские изделия | Кондитерская | Дог-френдли
Мир суши,3.0,Паназиатская кухня | Вегетарианская кухня | Кондитерская
Mindaйk coffee,4.5,Кофейня
Rocket Coffee,3.0,Бар молочных коктейлей | Детский ресторан | Фреш-бар
SBL,4.7,Кондитерские изделия | Фреш-бар | Кофейня
Сибирские блины,5.0,Блинная | Точка по продаже шаурмы | Паназиатская кухня
Chupito,3.0,Бар | Мексиканская кухня | Латиноамериканская кухня
Да Винчи,3.0,Банкетный зал | Кейтеринг | Доставка еды
Саша Варит,5.0,Кулинария | Столовая | Бизнес-ланч
Магнолия,4.0,Восточная кухня | Кофе на вынос
Безумно. Крутая шаурма,4.9,Точка по продаже шаурмы | Фастфуд
Безумно. Крутая шаурма,4.9,Точка по продаже шаурмы | Фастфуд
Н.Джой,5.0,Паназиатская кухня | Японская кухня | Американская кухня
Пицца. ру,4.4,Доставка еды
Doner Walk,4.5,Фастфуд
Столовая-бистро,5.0,Столовая
Автор,5.0,Кондитерская | Дог-френдли | Кофе на вынос
Алкополис Т,4.0,Круглосуточный бар | Винный бар | Рюмочная
Сибирские блины,5.0,Блинная | Точка по продаже шаурмы | Фастфуд
Японика,4.3,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Rocket Coffee,4.5,Бар молочных коктейлей | Детский ресторан | Фреш-бар
Вкусно — и точка,3.0,Кафе | Автокафе | Бар молочных коктейлей
Про суши,4.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Шашлык project,5.0,Точка по продаже шаурмы | Восточная кухня | Шашлычная
Кинцуги,4.7,Бабл ти бар | Детский ресторан | Паназиатская кухня
Fresh,2.8,Ресторан-пивоварня | Пельменная | Гриль-бар
Додо Пицца,4.2,Бар молочных коктейлей | Детский ресторан | Пиццерия
Take two кофе&вафли,4.5,Фастфуд | Кофе на вынос
Пицца. ру,4.4,Бар молочных коктейлей | Бабл ти бар | Панорамный ресторан
Шашлык на пятаке,5.0,Точка по продаже шаурмы | Шашлычная | Фастфуд
Окей суши,4.2,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Шашлычная на Комсомольском проспекте,5.0,Шашлычная | Кавказская кухня
Додо Пицца,5.0,Бар молочных коктейлей | Детский ресторан | Пиццерия
Буланже,4.0,Кафе | Кафе с бельгийскими вафлями | Бар молочных коктейлей
Ёлки Холл,5.0,Домашняя кухня | Детский ресторан | Семейный ресторан
Фреш Ролл,4.2,Паназиатская кухня | Суши-бар | Фастфуд
Еда тут,4.8,Фастфуд | Доставка хот-догов | Доставка фастфуда
Santa Monica,2.1,Кафе | Кафе с фалафелем | Детский ресторан
Шаурма гриль,4.5,Точка по продаже шаурмы | Фастфуд | Доставка еды
Бай казан,4.6,Восточная кухня | Шашлычная | Кавказская кухня
Мыльная опера,1.8,Семейный ресторан | Винный бар | Банкетный зал
Шашлыкоff,2.5,Кафе | Кафе с бельгийскими вафлями | Банкетный зал для корпоратива
Мы же на ты,2.7,Ресторан-пивоварня | Винный бар | Панорамный ресторан
Йохан пивохан,2.7,Ресторан-пивоварня | Гриль-бар | Винный бар
Азиатский дворик,4.7,Лапшичная | Чебуречная | Детский ресторан
Пешком постою,2.0,Восточная кухня | Хинкальная | Гриль-бар
Суши мания,5.0,Паназиатская кухня | Суши-бар | Японская кухня
Самый лучший день,4.3,Банкетный зал на Новый год | Банкетный зал для корпоратива
Прожарка,4.5,Точка по продаже шаурмы | Бургерная | Фастфуд
Don macaron,4.7,Кондитерские изделия | Кондитерская
Прожарка,4.5,Точка по продаже шаурмы | Фастфуд | Доставка хот-догов
Шаурмания,4.0,Точка по продаже шаурмы | Фастфуд | Доставка горячих блюд
Milk,4.0,Бар молочных коктейлей | Кофейня | Дог-френдли
Ива,5.0,Гриль-бар | Шашлычная | Кавказская кухня
Томичка,3.5,Шашлычная | Кавказская кухня | Банкетный зал
Дебют,3.0,Столовая | Банкетный зал | Кофе на вынос
Yoki Toki,3.8,Лапшичная | Паназиатская кухня | Тайская кухня
Барин,4.3,Бабл ти бар | Гриль-бар | Винный бар
Mindaйk coffee,4.7,Бар молочных коктейлей | Бабл ти бар | Кофейня
Milk,4.7,Кофейня
Quua,3.6,Бар молочных коктейлей | Бабл ти бар | Кофе на вынос
Сибирские блины,4.0,Блинная | Точка по продаже шаурмы | Паназиатская кухня
У Сильвера,3.0,Гриль-бар | Винный бар | Шашлычная
Торта,5.0,Паназиатская кухня | Кондитерские изделия | Кондитерская
Zerna,4.7,Пекарня | Кондитерские изделия | Кондитерская
Рубин,2.0,Банкетный зал на 70 человек | Банкетный зал на 60 человек
Драничная,4.7,Фастфуд | Дог-френдли
Станция 9/1,4.7,Пиццерия | Фастфуд | Итальянская кухня
Точка,4.5,Бар молочных коктейлей | Детский ресторан | Бургерная
Снегири,4.0,Детский ресторан | Гриль-бар | Винный бар
Итали,2.0,Детский ресторан | Паназиатская кухня | Гриль-бар
Разгуляй,5.0,Пельменная | Винный бар | Банкетный зал
Кофеvарка,4.0,Бар молочных коктейлей | Кофе на вынос
Элит,5.0,
Марсель,2.6,Банкетный зал | Европейская кухня | Кейтеринг
Милана,2.8,Банкетный зал | Парковка | Wi-Fi
Сибирские блины,4.0,Блинная | Точка по продаже шаурмы | Паназиатская кухня
Picanto,2.0,Детский ресторан | Паназиатская кухня | Винный бар
У Крюгера,2.5,Ресторан-пивоварня | Детский ресторан | Гриль-бар
Доставка sushi Томск,3.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Безумно. Крутая шаурма,4.7,Точка по продаже шаурмы | Детский ресторан | Фастфуд
Южные ворота,3.8,Бар молочных коктейлей | Панорамный ресторан | Пиццерия
Jawsspot,4.0,Спортбар | Пивной ресторан | Бар
Точка кофе,5.0,Кофе на вынос
ЕлиДаЕли,4.3,Круглосуточная пиццерия | Фастфуд круглосуточно
Компот и к,4.0,Столовая | Кофе на вынос
Black Bubble Coffee,5.0,Бар молочных коктейлей | Бабл ти бар | Кофе на вынос
Старая усадьба,2.8,Банкетный зал
Гиро,5.0,Кафе | Кафе с гиросом | Греческая кухня
Complimento!,5.0,Кафе | Кафе с бельгийскими вафлями | Паназиатская кухня
Poly bistro,4.0,Детский ресторан | Паназиатская кухня | Гриль-бар
ЧебурекМи,4.3,Чебуречная | Восточная кухня | Фастфуд
Сибирские блины,5.0,Паназиатская кухня | Фастфуд | Бар
Baba Roma,3.8,Пекарня | Кондитерские изделия | Кондитерская
Кафе восточной кухни в переулке Нахимова,5.0,Восточная кухня | Пельменная | Пиццерия
Прожарка,4.3,Точка по продаже шаурмы | Гриль-бар | Шашлычная
Барин,4.2,Банкетный зал на Новый год | Банкетный зал для корпоратива
Фишка Суши,4.5,Паназиатская кухня | Панорамный ресторан | Суши-бар
Сибирские блины,2.0,Блинная | Точка по продаже шаурмы | Фастфуд
Сибирские блины,5.0,Блинная | Точка по продаже шаурмы | Фастфуд
Gelateria Italiana,2.5,Итальянская кухня | Европейская кухня | Доставка еды
Чико,3.3,Бабл ти бар | Паназиатская кухня
Окно,3.2,Паназиатская кухня | Гриль-бар | Винный бар
Doner master,4.5,Круглосуточная пиццерия | Фастфуд круглосуточно | Точка по продаже шаурмы
Дело в креме,3.6,Кондитерские изделия | Кондитерская | Кофе на вынос
Baba Roma,3.6,Бар молочных коктейлей | Кулинария | Кондитерские изделия
Рис,4.3,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Безумно. Крутая шаурма,3.3,Точка по продаже шаурмы | Фастфуд
Согдиана,4.0,Кофе на вынос
Антрекот,3.0,Бар молочных коктейлей | Гриль-бар | Винный бар
Укромное местечко,4.8,Столовая
Тантуни,2.0,Кафе | Кафе с гиросом
Полная чаша,2.0,Восточная кухня | Детский ресторан | Гриль-бар
Гриль №1,4.3,Точка по продаже шаурмы | Детский ресторан
