Название,Рейтинг,Направления
Северный союз,4.4,Восточная кухня | Гриль-бар | Винный бар
Суши Даром,4.8,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Нарым,3.7,Винный бар | Банкетный зал | Бар
MushRooms,4.5,Точка по продаже шаурмы | Крафтовый бар | Банкетный зал
Суши Море,4.7,Паназиатская кухня | Суши-бар | Фастфуд
Багет-омлет,3.3,Детский ресторан | Винный бар | Панорамный ресторан
Вечный зов,3.7,Детский ресторан | Пельменная | Гриль-бар
Harat`s pub,4.1,Точка по продаже шаурмы | Восточная кухня | Паб
Ёбидоёби,3.5,Паназиатская кухня | Суши-бар | Фастфуд
Bristot,4.5,Винный бар | Фреш-бар | Кондитерская
Панда,3.3,Бар молочных коктейлей | Детский ресторан | Семейный ресторан
Папа Джонс,5.0,Пиццерия | Фастфуд | Доставка еды
Наше кафе,4.9,Столовая | Банкетный зал | Доставка горячих блюд
Velvet,3.5,Паназиатская кухня | Пельменная | Гриль-бар
Птичка,3.5,Винный бар | Пиццерия | Банкетный зал
Escobar,4.8,Бар
Сладкарница,3.3,Пекарня | Кондитерские изделия | Кофе на вынос
Южани с огоньком,3.8,Кафе | Восточная кухня
Лофт студия вкуса,3.8,Детский ресторан | Пельменная | Гриль-бар
Суши Кит,4.3,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Байкал,4.3,Паназиатская кухня | Вегетарианская кухня | Суши-бар
Буланже,3.2,Кафе | Кафе с бельгийскими вафлями | Бар молочных коктейлей
Сыр-Бор,4.7,Столовая | Кофе на вынос | Wi-Fi
Чайная обитель,5.0,Доставка еды | Доставка кондитерских изделий
Старый чердак,3.5,Банкетный зал | Кондитерская | Кейтеринг
Шашлыкоff,3.5,Кафе | Кафе с бельгийскими вафлями | Банкетный зал для корпоратива
Панорама,3.6,Восточная кухня | Паназиатская кухня | Гриль-бар
Корона,5.0,Детский ресторан | Гриль-бар | Банкетный зал
Суши WOK,4.4,Паназиатская кухня | Фастфуд | Бар
Доберман,4.4,Винный бар | Стейк-хаус | Банкетный зал
Антонов двор,3.7,Кафе | Кафе с бельгийскими вафлями | Кондитерские изделия
Resto-место Ближе,3.5,Чебуречная | Восточная кухня | Детский ресторан
Бульвар,3.3,Банкетный зал на 70 человек | Банкетный зал для корпоратива
Invino,4.3,Винный бар | Банкетный зал | Бар
Сибирское бистро,4.0,Бар молочных коктейлей | Пельменная | Бургерная
Пельмени Project,4.4,
Пабик,3.7,Чебуречная | Гриль-бар | Винный бар
Суши Море,4.7,Паназиатская кухня | Суши-бар | Фастфуд
Сансара,4.3,Кофейня | Дог-френдли | Кофе на вынос
Ме-Га Суши,4.3,Паназиатская кухня | Суши-бар | Японская кухня
Rostic`s,3.8,Бар молочных коктейлей | Бургерная
Пирога,3.1,Пекарня | Кондитерские изделия | Кавказская кухня
Колобок. Ру,4.0,Кулинария | Столовая | Доставка плова
Maya pizza,4.0,Пиццерия | Фастфуд | Мексиканская кухня
Су энд Ши,5.0,Бар молочных коктейлей | Точка по продаже шаурмы | Восточная кухня
Ваниль,3.6,Кафе | Кафе с бельгийскими вафлями | Кафе-мороженое
Графт,3.7,Гриль-бар | Винный бар | Шашлычная
Территория Кофе,4.5,Бар молочных коктейлей | Фреш-бар | Кофе на вынос
Дыхание вока,3.6,Паназиатская кухня | Фастфуд | Бар
Хинкали-тун,3.6,Хинкальная | Шашлычная | Кавказская кухня
Додо Пицца,3.9,Итальянская кухня | Европейская кухня | Доставка еды
El Mucho Bar,4.3,Гриль-бар | Винный бар | Стейк-хаус
Мистер Ролл,5.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Мюнхен,3.7,Гриль-бар | Винный бар | Стейк-хаус
Ораш,4.5,Круглосуточный ресторан | Восточная кухня | Пельменная
Буланжери,4.4,Кондитерские изделия | Кондитерская | Кофе на вынос
Народное собрание,4.0,Банкетный зал | Европейская кухня
Лаванда,3.9,Банкетный зал | Кейтеринг | Шведский стол
Clever,3.8,Паб | Винный бар | Бар
Арбат,3.5,Банкетный зал на 60 человек | Банкетный зал на 50 человек
Безумно. Крутая шаурма,4.9,Фастфуд круглосуточно | Точка по продаже шаурмы | Фастфуд
Сибирские блины,5.0,Блинная | Точка по продаже шаурмы | Фастфуд
Антонов двор,5.0,Кафе | Кафе с бельгийскими вафлями | Восточная кухня
Территория Кофе,4.0,Бар молочных коктейлей | Фреш-бар | Кофейня
Буфет,5.0,Банкетный зал | Европейская кухня | Wi-Fi
Шустофф,3.7,Банкетный зал
Панда,2.8,Детский ресторан | Семейный ресторан | Паназиатская кухня
ProFerma,3.5,Бургерная | Фастфуд | Американская кухня
Славянский базаръ,4.0,Детский ресторан | Винный бар | Банкетный зал
Суши WOK,5.0,Паназиатская кухня | Фастфуд | Бар
Антонов двор,3.2,Кафе | Кафе с бельгийскими вафлями | Восточная кухня
Ассорти,4.5,Блинная | Банкетный зал на 70 человек
Антрекот,4.4,Гриль-бар | Винный бар | Бургерная
Мэйк лав пицца,5.0,Кафе | Кафе с фалафелем | Кафе с бельгийскими вафлями
Meet Up,3.5,Винный бар | Бар | Доставка горячих блюд
#re:bro мясо&бургеры,4.0,Гриль-бар | Винный бар | Бургерная
Ресторан в развлекательном комплексе Paradise,3.9,Кавказская кухня | Банкетный зал | Кондитерская
Baba Roma,4.3,Бар молочных коктейлей | Пекарня | Кулинария
Rocket Coffee,3.7,Бар молочных коктейлей | Кофейня | Кофе на вынос
Саша Варит,3.2,Европейская кухня | Доставка азиатской кухни | Доставка плова
Безумно. Крутая шаурма,4.9,Точка по продаже шаурмы | Фастфуд
Прокрафт,4.0,Бургерная | Фастфуд | Пивной ресторан
Золотая долина,2.6,Точка по продаже шаурмы | Восточная кухня | Детский ресторан
Администрации Томской области,4.0,Столовая | Банкетный зал | Кофе на вынос
Безумно. Крутая шаурма,4.9,Точка по продаже шаурмы | Фастфуд
Безумно. Крутая шаурма,4.9,Точка по продаже шаурмы | Фастфуд
Додо Пицца,4.3,Бар молочных коктейлей | Детский ресторан | Пиццерия
Перчини,3.0,Детский ресторан | Винный бар | Пиццерия
Суши точка,4.7,Паназиатская кухня | Суши-бар | Фастфуд
Медведица,3.2,Банкетный зал для свадьбы | Банкетный зал
"Мама, я дома!",3.0,Детский ресторан | Хинкальная | Гриль-бар
Корона,2.6,Бар молочных коктейлей | Банкетный зал для дня рождения | Банкетный зал для юбилея
Мамина пицца,4.8,Корабль-ресторан | Доставка салатов | Доставка фастфуда
Вокруг света,3.3,Детский ресторан | Семейный ресторан | Паназиатская кухня
Баракат,2.6,Круглосуточный бар | Фастфуд круглосуточно | Точка по продаже шаурмы
Колобок. Ру,4.0,Кулинария | Кондитерские изделия | Столовая
8 небо,3.3,Банкетный зал | Wi-Fi
Public,2.4,Детский ресторан | Паназиатская кухня | Шашлычная
Ферганская кухня,3.3,Точка по продаже шаурмы | Восточная кухня | Шашлычная
Farfor,3.3,Домашняя кухня | Паназиатская кухня | Бургерная
